state,total_spending,discretionary,non_discretionary,housing_burden,population_millions,longitude,latitude
New South Wales,25326.7,15626.0,9700.7,35.9,8.2,146.5,-32.5
Victoria,20145.3,12456.2,7689.1,34.2,6.7,144.5,-37.0
Queensland,16581.6,10374.3,6207.3,32.8,5.4,144.0,-23.0
Western Australia,9134.5,5789.2,3345.3,29.5,2.9,121.0,-26.0
South Australia,6543.2,4123.8,2419.4,31.1,1.8,135.5,-30.0
Tasmania,2345.6,1489.3,856.3,28.7,0.57,146.5,-42.0
Australian Capital Territory,1462.5,911.5,551.0,30.4,0.46,149.0,-35.5
Northern Territory,852.4,607.7,244.7,27.3,0.25,134.0,-20.0
